id,title,artist,genre,mood,instrument,theme,occasion,language,era,audience,tempo,summary,youtube_url
u9Dg-g7t2l4,The Sound Of Silence,Disturbed,Christian music,emotional,"Singing, Piano, Guitar, Orchestra, Violin","sobriety, reflection, inner struggle",,English,,"addicts, those seeking inspiration",170.4545455,"A powerful rendition of a classic song that evokes deep emotions and reflections on life, struggles, and sobriety. The performance showcases a blend of strong vocals and orchestral elements, resonating with listeners on a personal level.",https://www.youtube.com/watch?v=u9Dg-g7t2l4
MkElfR_NPBI,Black Magic,Little Mix,Pop music,Nostalgic,"Singing, Drum, Synthesizer","Childhood memories, Love","Celebration, Dance",English,2010s,"Young adults, Fans of Little Mix",112.5 BPM,"A nostalgic pop song that celebrates love and childhood memories, characterized by catchy melodies and upbeat rhythms, making it perfect for dancing and celebrations.",https://www.youtube.com/watch?v=MkElfR_NPBI
jzD_yyEcp0M,FRIENDS,Marshmello & Anne-Marie,Pop music,Nostalgic,"Singing, Acoustic guitar, Drum and bass","Friendzone, Unrequited love","Casual listening, Reflective moments",English,,"Young adults, Fans of pop music",95.34 BPM,"A nostalgic pop anthem that captures the feelings of being friendzoned, resonating with listeners who reflect on past relationships and friendships.",https://www.youtube.com/watch?v=jzD_yyEcp0M
9xByMBYDRmY,Sin Contrato,Maluma,Afrobeat,Energetic,"Guitar, Drum kit","Love, Relationships","Party, Celebration",Spanish,2010s,Young adults,95.34,"A popular song by Maluma that blends Afrobeat elements with themes of love and relationships, often associated with energetic party vibes.",https://www.youtube.com/watch?v=9xByMBYDRmY
9BMwcO6_hyA,Always,Bon Jovi,Rock music,"Nostalgic, Romantic","Electric guitar, Drum kit, Bass drum","Love, Loss, Longing","Romantic moments, Reflection",English,1990s,"Fans of classic rock, Romantic listeners",144.23076923 BPM,"A timeless rock ballad that expresses deep love and longing, reflecting on memories and emotional connections.",https://www.youtube.com/watch?v=9BMwcO6_hyA
6GUm5g8SG4o,Locked Away,R. City ft. Adam Levine,Pop music,Nostalgic,Singing,Love and relationships,,English,2010s,General,125 BPM,"The song evokes nostalgia and deep emotions related to love and relationships, resonating with listeners across different ages and experiences.",https://www.youtube.com/watch?v=6GUm5g8SG4o
eJO5HU_7_1w,The Real Slim Shady,Eminem,Hip hop music,Exciting,"Singing, Sampler, Synthesizer, Keyboard","Self-identity, Fame, Controversy",,English,2000s,"General public, Fans of hip hop",104.16666667 BPM,"A legendary hip hop track that addresses themes of identity and fame, characterized by its catchy beat and clever lyrics.",https://www.youtube.com/watch?v=eJO5HU_7_1w
P2hM9CLAMu4,¡Corre!,JESSE & JOY,Pop music,Nostalgic,"Piano, Guitar, Electric piano",Love and Heartbreak,Reflective moments,Spanish,2010s,Young adults and nostalgic listeners,152 BPM,"The song evokes nostalgia and emotions related to love and heartbreak, resonating with listeners across different generations. It features a blend of piano and guitar, creating a reflective atmosphere that connects deeply with personal experiences.",https://www.youtube.com/watch?v=P2hM9CLAMu4
Ahha3Cqe_fk,The One That Got Away,Katy Perry,Pop music,Sad,"Guitar, Piano, Drum, Keyboard","Heartbreak, Nostalgia, Loss","Reflective moments, Emotional experiences",English,2010s,"Young adults, Fans of emotional music",133.92857143 BPM,"The song reflects on themes of heartbreak and nostalgia, resonating deeply with listeners who relate to lost love and emotional struggles. It evokes strong feelings of sadness and reflection, often bringing listeners to tears as they connect with their own experiences of loss.",https://www.youtube.com/watch?v=Ahha3Cqe_fk
MwpMEbgC7DA,Another Love,Tom Odell,Independent music,"Heartbreaking, Nostalgic","Piano, Guitar, Violin","Love, Heartbreak, Memories",,English,2010s,"Young adults, Emotionally sensitive listeners",122 BPM,"A timeless and emotional song that resonates deeply with listeners, reflecting themes of love, heartbreak, and nostalgia. The music evokes strong feelings and memories, making it a favorite for many who relate to its poignant lyrics and melody.",https://www.youtube.com/watch?v=MwpMEbgC7DA
Dst9gZkq1a8,goosebumps,Travis Scott ft. Kendrick Lamar,Hip hop music,Exciting,"Singing, Guitar, Synthesizer","Experiential effects, euphoria",,English,,Fans of hip hop and Travis Scott,130.81 BPM,"The song features a blend of hip hop and R&B elements, characterized by its exciting mood and various instrumental effects. It explores themes of euphoria and sensory experiences, resonating with a youthful audience.",https://www.youtube.com/watch?v=Dst9gZkq1a8
C-u5WLJ9Yk4,...Baby One More Time,Britney Spears,Pop music,Nostalgic,"Singing, Drum kit, Synthesizer","Loneliness, Youth",,English,1990s,"Fans of pop music, Britney Spears fans",93.75 BPM,"A nostalgic pop anthem that explores themes of loneliness and youth, showcasing Britney Spears' powerful vocals and iconic sound.",https://www.youtube.com/watch?v=C-u5WLJ9Yk4
4NNRy_Wz16k,Ahora Me Llama,"Karol G, Bad Bunny",Pop music,Nostalgic,"Singing, Guitar, Synthesizer",Love and healing from toxic relationships,"Casual listening, parties",Spanish,2010s,Fans of urban and pop music,133.9285714,"A nostalgic hit that reflects on love and personal growth, resonating with listeners across different years.",https://www.youtube.com/watch?v=4NNRy_Wz16k
4JipHEz53sU,Super Bass,Nicki Minaj,"Pop music, Hip hop music","Nostalgic, Fun","Singing, Sampler, Synthesizer, Keyboard","Childhood memories, Enjoyment","Quarantine, Reminiscing",English,2010s,"Young adults, Fans of Nicki Minaj",127.8409091,"A nostalgic pop and hip hop song that evokes memories of childhood and fun, often revisited during quarantine times.",https://www.youtube.com/watch?v=4JipHEz53sU
a59gmGkq_pw,Cold Water,Major Lazer,Pop music,"Nostalgic, Exciting","Singing, Drum and bass, Synthesizer","Memories, Summer, Friendship","Summer parties, Celebrations",English,2010s,"Fans of Justin Bieber, Major Lazer, and M?",125 BPM,"A nostalgic pop song featuring Justin Bieber and M?, celebrated for its catchy beat and summer vibes, often associated with memories from 2016.",https://www.youtube.com/watch?v=a59gmGkq_pw
U0CGsw6h60k,What's My Name?,Rihanna,Pop music,Nostalgic,"Singing, Synthesizer, Drum and bass","Memories, Love",,English,2010s,"Young adults, Fans of Rihanna and Drake",133.93 BPM,"The song evokes nostalgia and fond memories of the early 2010s, highlighting themes of love and reminiscence. It features a blend of pop and R&B elements, characterized by catchy melodies and a rhythmic beat.",https://www.youtube.com/watch?v=U0CGsw6h60k
M11SvDtPBhA,Party In The U.S.A.,Miley Cyrus,Pop music,Nostalgic,"Singing, Electric guitar, Synthesizer",Memories and fun,"Parties, Celebrations",English,2000s,"Young adults, Teens",95.33898305,"The song evokes nostalgia for simpler times and carefree moments, often associated with youth and fun at parties.",https://www.youtube.com/watch?v=M11SvDtPBhA
1y6smkh6c-0,Don't You Worry Child,Swedish House Mafia ft. John Martin,Electronic dance music,Nostalgic,"Singing, Guitar, Synthesizer","Hope, Memories, Life Changes","Celebration, Remembrance",English,2010s,"General public, Fans of electronic music",127.84090909 BPM,"A nostalgic electronic dance track that evokes memories of the past, hope, and life changes, resonating with listeners across different ages and experiences.",https://www.youtube.com/watch?v=1y6smkh6c-0
YWu9mB6X9Oc,"Después de Ti, ¿Quién?",La Adictiva Banda San José de Mesillas,Banda,Melancholic,"Brass instrument, Trombone, Trumpet, Saxophone, Accordion, Guitar, Drum","Heartbreak, Love, Moving On",Emotional Reflection,Spanish,,"Spanish-speaking audience, Latin music fans",122.2826087,"The song explores themes of heartbreak and moving on after a significant relationship, expressing deep emotions and reflections on love lost.",https://www.youtube.com/watch?v=YWu9mB6X9Oc
8JnfIa84TnU,Solo,Clean Bandit (feat. Demi Lovato),Pop music,Nostalgic,"Violin, Keyboard, Synthesizer","Self-pleasure, Heartbreak",Summer vibes,English,2010s,"Young adults, Gen Z",104.16666667 BPM,"The song 'Solo' explores themes of self-pleasure and heartbreak, wrapped in a catchy pop melody that evokes nostalgia for listeners who grew up with it. It has a vibrant, summer vibe and resonates particularly with younger audiences reflecting on their past.",https://www.youtube.com/watch?v=8JnfIa84TnU
SRcnnId15BA,Candy Shop,50 Cent,Hip hop music,Exciting,"Singing, Sampler, Synthesizer","Playful, Seduction","Parties, Clubs",English,2000s,"Young adults, Nostalgic listeners",193.96551724 BPM,"A playful and seductive hip-hop track featuring catchy beats and memorable hooks, often reminisced by listeners for its nostalgic value and deeper meanings discovered over time.",https://www.youtube.com/watch?v=SRcnnId15BA
tvTRZJ-4EyI,HUMBLE.,Kendrick Lamar,Hip hop music,Exciting,"Drum machine, Synthesizer, Drum kit, Bass guitar","Self-reflection, Humility",,English,2010s,Fans of hip hop and contemporary music,148 BPM,"A powerful track that emphasizes self-awareness and humility, featuring a blend of modern hip hop production elements.",https://www.youtube.com/watch?v=tvTRZJ-4EyI
Km4BayZykwE,Si Tu Novio Te Deja Sola,J Balvin ft. Bad Bunny,"Rhythm and blues, Hip hop music",Nostalgic,"Singing, Guitar, Keyboard, Synthesizer","Memories, Relationships","Casual listening, Reminiscing",Spanish,2010s,"Latin American youth, Fans of reggaeton",122.28 BPM,"The song evokes nostalgia and memories of youth, particularly among Latin American listeners, reflecting on past relationships and good times.",https://www.youtube.com/watch?v=Km4BayZykwE
sD9_l3oDOag,No Hay Nadie Más,Sebastián Yatra,Soul music,Romantic,"Guitar, Singing",Love and Relationships,Weddings,Spanish,,"Couples, Wedding attendees",104.16666667 BPM,"The song expresses deep feelings of love and devotion, often dedicated to significant others during romantic occasions such as weddings. It resonates with themes of nostalgia and emotional connection, making it a popular choice for couples.",https://www.youtube.com/watch?v=sD9_l3oDOag
sOnqjkJTMaA,Thriller,Michael Jackson,Pop music,"Scary, Nostalgic","Singing, Orchestra, Synthesizer","Zombies, Fear, Transformation",Halloween,English,1980s,All ages,117.1875 BPM,"A groundbreaking music video that combines horror elements with dance, featuring Michael Jackson's iconic transformation into a werewolf and a dance sequence with zombies, creating a lasting impact on pop culture.",https://www.youtube.com/watch?v=sOnqjkJTMaA
qeMFqkcPYcg,Sweet Dreams (Are Made Of This),"Eurythmics, Annie Lennox, Dave Stewart",Pop music,Timeless,"Singing, Sampler, Synthesizer, Keyboard",Desire and relationships,,English,1980s,All ages,125 BPM,"A classic pop song exploring themes of desire and the complexities of relationships, characterized by its catchy melody and iconic music video.",https://www.youtube.com/watch?v=qeMFqkcPYcg
k0BWlvnBmIE,Wide Awake,Katy Perry,Pop music,Nostalgic,"Singing, Synthesizer, Guitar","Inner child healing, empowerment, nostalgia",,English,2010s,"Young adults, fans of Katy Perry",80.35714286 BPM,"The song reflects themes of nostalgia and empowerment, focusing on healing one's inner child after experiencing heartbreak. It resonates with listeners who associate it with their childhood and personal growth.",https://www.youtube.com/watch?v=k0BWlvnBmIE
QLz9VaksClg,Agua,"Tainy, J. Balvin","Afrobeat, Hip hop music, Rhythm and blues, Reggae","fun, lively, humorous","Singing, Flute, Wind instrument, Sampler, Synthesizer, Timpani, Keyboard, Drum","underwater party, humor","party, celebration",Spanish,,"fans of SpongeBob, young adults, children",100.44642857 BPM,"A lively and humorous song featured in the 'Sponge On The Run' movie, combining elements of Afrobeat and hip hop, centered around an underwater party theme.",https://www.youtube.com/watch?v=QLz9VaksClg
W-TE_Ys4iwM,Story of My Life,One Direction,Pop music,Tender,"Acoustic guitar, Singing","Nostalgia, Loss",Emotional reflection,English,2010s,Fans of One Direction,122.2826087,"The song reflects on themes of nostalgia and loss, evoking strong emotions among listeners, particularly in light of recent events related to the band members.",https://www.youtube.com/watch?v=W-TE_Ys4iwM
zABLecsR5UE,Someone You Loved,Lewis Capaldi,Independent music,Sad,Piano,Heartbreak and loneliness,,English,,Individuals experiencing loneliness or heartbreak,110.29411765 BPM,"The song expresses deep feelings of sadness, heartbreak, and the struggle of feeling alone, resonating with listeners who have experienced similar emotions.",https://www.youtube.com/watch?v=zABLecsR5UE
1wYNFfgrXTI,When I'm Gone,Eminem,Hip hop music,Reflective,"Singing, Sampler, Synthesizer, Keyboard, Cello","Life struggles, Legacy, Loss",,English,,"Fans of Eminem, Hip hop enthusiasts",148.02631579 BPM,"The song reflects on Eminem's personal struggles, legacy, and the impact of his music over time, resonating deeply with listeners as they grow older.",https://www.youtube.com/watch?v=1wYNFfgrXTI
vIaH35-MLsk,Right Now (Na Na Na),Akon,Pop music,Nostalgic,"Singing, Organ, Keyboard, Guitar, Piano","Love, Memories","Reunion, Celebration",English,2000s,"Fans of Akon, Nostalgia Seekers",137.195122,"A nostalgic pop song by Akon that evokes memories of love and reunions, celebrated for its timeless appeal and emotional resonance.",https://www.youtube.com/watch?v=vIaH35-MLsk
8zQTfGbyY5I,Soltera Remix,Lunay X Daddy Yankee X Bad Bunny,"Reggae, Hip hop music","Nostalgic, Uplifting, Celebratory","Singing, Sampler, Synthesizer","Being single, Nostalgia","Parties, Celebrations",Spanish,Contemporary,"Young adults, Fans of reggaeton",92.21,"The song celebrates being single and evokes nostalgia for past times, particularly highlighting the contributions of Daddy Yankee and the energetic vibes of reggaeton.",https://www.youtube.com/watch?v=8zQTfGbyY5I
Dvpd9_5vuks,Síguelo Bailando,Ozuna,Afrobeat,Celebratory,"Drum, Synthesizer","Dance, Celebration","Parties, New Year",Spanish,2020s,Fans of Reggaeton and Latin music,127.84 BPM,"A vibrant and catchy reggaeton track that encourages listeners to dance and celebrate, showcasing Ozuna's signature style and appeal.",https://www.youtube.com/watch?v=Dvpd9_5vuks
5anLPw0Efmo,My Immortal,Evanescence,Rock music,Sad music,"Piano, Violin, Electric guitar","Loss, Grief, Love","Funeral, Memorial",English,,People experiencing loss,148.02631579 BPM,"A haunting ballad that evokes deep emotions related to loss and grief, resonating with listeners who have experienced the pain of losing loved ones.",https://www.youtube.com/watch?v=5anLPw0Efmo
lwk5OUII9Vc,Rolex,Ayo & Teo,Hip hop music,Nostalgic,"Singing, Drum machine, Keyboard (musical), Synthesizer, Guitar","Celebration, Memories","Parties, Celebrations",English,2010s,"Young adults, Teens",96.98 BPM,"A nostalgic hip hop track that celebrates memories and good times, often associated with parties and youthful exuberance.",https://www.youtube.com/watch?v=lwk5OUII9Vc
IPfJnp1guPc,Young Dumb & Broke,Khalid,Pop music,Nostalgic,Singing,Youth and struggle,Graduation,English,,Young adults and teenagers,137.195122,"The song captures the essence of youth, reflecting on the struggles and carefree moments of being young, dumb, and broke. It resonates with listeners who relate to the experiences of high school and the transition into adulthood.",https://www.youtube.com/watch?v=IPfJnp1guPc
b8m9zhNAgKs,Black Beatles,Rae Sremmurd,Hip hop music,"Laid back, Nostalgic, Catchy","Singing, Synthesizer, Drum machine","Success, Nostalgia, Friendship","Parties, Casual listening",English,2010s,"Young adults, Hip hop fans",96.98 BPM,"The song 'Black Beatles' by Rae Sremmurd features a catchy melody and laid-back vibe, blending elements of hip hop and pop. It evokes nostalgia and themes of success and friendship, making it a popular choice for parties and casual listening.",https://www.youtube.com/watch?v=b8m9zhNAgKs
gOsM-DYAEhY,Whatever It Takes,Imagine Dragons,Pop music,Inspiring,"Singing, Drum, Guitar, Synthesizer","Perseverance, Adrenaline, Overcoming challenges","Motivational events, Personal challenges",English,,Fans of uplifting and motivational music,133.92857143 BPM,"The song 'Whatever It Takes' by Imagine Dragons is an inspiring anthem about perseverance and the drive to overcome challenges. It features a blend of pop and rock elements, characterized by energetic instrumentation and motivational lyrics that resonate with listeners seeking empowerment.",https://www.youtube.com/watch?v=gOsM-DYAEhY
4m1EFMoRFvY,Single Ladies (Put a Ring on It),Beyoncé,Pop music,Exciting,"Singing, Sampler, Synthesizer","Empowerment, Relationships","Dance parties, Celebrations",English,2000s,"Young adults, Women",96.98 BPM,"This song is a celebration of independence and empowerment, particularly for women. It features catchy melodies and an iconic dance routine, making it a staple at parties and events. The lyrics encourage women to be assertive in their relationships.",https://www.youtube.com/watch?v=4m1EFMoRFvY
lf_wVfwpfp8,Focus,Ariana Grande,Pop music,Exciting,"Singing, Drum kit",Focus and empowerment,,English,2010s,Arianators and pop music fans,100.44642857 BPM,"Ariana Grande's 'Focus' is an empowering pop anthem characterized by its exciting mood and catchy beats. The song showcases Grande's vocal prowess and features a vibrant aesthetic, making it a favorite among fans. It reflects themes of focus and self-empowerment, resonating with a wide audience.",https://www.youtube.com/watch?v=lf_wVfwpfp8
6DRkf3kZMXw,El Farsante,Ozuna,Pop music,Exciting,"Saxophone, Synthesizer, Wind instrument, Brass instrument","Nostalgia, Humor","Casual listening, Family gatherings",Spanish,,"Fans of Ozuna, General listeners",119.68 BPM,"A catchy and nostalgic song that resonates with listeners across different years, often associated with humor and memorable moments.",https://www.youtube.com/watch?v=6DRkf3kZMXw
kTJczUoc26U,STAY,"The Kid LAROI, Justin Bieber",Pop music,"Beautiful, Nostalgic, Exciting","Keyboard, Drum and bass, Piano, Synthesizer, Electric piano, Guitar","Love, Collaboration, Growth",,English,,Fans of The Kid LAROI and Justin Bieber,170.45 BPM,A beautiful and exciting collaboration that evokes nostalgia and showcases the growth of both artists.,https://www.youtube.com/watch?v=kTJczUoc26U
iPGgnzc34tY,Djadja,Aya Nakamura,Afrobeat,Celebratory,"Singing, Guitar","Success, Celebration","Olympics, Celebration of Achievements",French,,"Fans of Aya Nakamura, Young Adults",98.68421053,"The song 'Djadja' by Aya Nakamura is a celebratory Afrobeat track that has gained immense popularity, especially among young audiences. It is associated with themes of success and celebration, particularly highlighted during events like the Olympics. The song features a mix of singing and guitar, contributing to its catchy and vibrant sound.",https://www.youtube.com/watch?v=iPGgnzc34tY
hiP14ED28CA,Wiggle,Jason Derulo,"Hip hop music, Rhythm and blues, Pop music","Nostalgic, Exciting","Singing, Drum kit, Guitar, Synthesizer","Memories, Fun, Dance","Parties, School events",English,2010s,"Young adults, Teens",81.52 BPM,"A nostalgic and exciting song that combines hip hop and pop elements, featuring catchy lyrics and a danceable beat, often associated with fun memories from school and parties.",https://www.youtube.com/watch?v=hiP14ED28CA
bbEoRnaOIbs,23,Mike WiLL Made-It,"Hip hop music, Pop music",Exciting,"Singing, Drum, Synthesizer","Celebration, Rebellion","Birthday, Party",English,2010s,"Young adults, Fans of Miley Cyrus",140.625 BPM,"The song '23' features a high-energy collaboration between Miley Cyrus, Wiz Khalifa, and Juicy J, celebrating youth and confidence with a catchy hip-hop/pop sound. It reflects a vibrant era in Miley's career, marked by bold performances and a rebellious spirit.",https://www.youtube.com/watch?v=bbEoRnaOIbs
E8gmARGvPlI,Last Christmas,Wham!,Christmas music,nostalgic,"Keyboard (musical), Electric piano, Guitar, Drum kit",love and loss,Christmas,English,1980s,general public,106.13207547 BPM,"A timeless Christmas classic that evokes feelings of nostalgia and bittersweet memories, often associated with love and loss during the holiday season.",https://www.youtube.com/watch?v=E8gmARGvPlI
syFZfO_wfMQ,Night Changes,One Direction,Tender music,"Nostalgic, Sad","Guitar, Keyboard (musical)","Memories, Change, Loss","Remembrance, Reflection",English,2010s,"Fans of One Direction, Young Adults",119.6808511,"A nostalgic song reflecting on the passage of time and the bittersweet nature of memories, particularly in the context of lost loved ones.",https://www.youtube.com/watch?v=syFZfO_wfMQ
iX-QaNzd-0Y,Stolen Dance,Milky Chance,Independent music,Relaxing,Acoustic guitar,"Nostalgia, Love",Casual listening,English,2010s,Young adults,114.7959184,"A nostalgic and relaxing song that evokes memories and emotions, featuring acoustic instrumentation and themes of love and companionship.",https://www.youtube.com/watch?v=iX-QaNzd-0Y
CdXesX6mYUE,International Love,Pitbull,"Pop music, Dance music, Electronic music","Energetic, Uplifting","Singing, Drum and bass, Sampler, Synthesizer, Keyboard","Celebration, Love, International connection","Parties, Summer cookouts, Celebrations",English,2010s,"Young adults, Party-goers",119.68 BPM,"A high-energy song that celebrates love and international connections, often associated with parties and summer vibes, featuring catchy beats and memorable lyrics.",https://www.youtube.com/watch?v=CdXesX6mYUE
LrUvu1mlWco,We Can't Stop,Miley Cyrus,Pop music,Nostalgic,"Singing, Drum and bass, Synthesizer, Guitar","Youth, Freedom, Rebellion","Parties, Celebrations",English,2010s,"Young adults, Teens",80.35714286 BPM,"A nostalgic pop anthem reflecting on youth and freedom, characterized by its catchy beat and rebellious spirit.",https://www.youtube.com/watch?v=LrUvu1mlWco
VPRjCeoBqrI,A Sky Full Of Stars,Coldplay,Pop music,"Motivational, Happy, Emotional","Keyboard, Piano, Guitar, Cello, Orchestra","Love, Nostalgia, Healing","Weddings, Celebrations",English,,"General public, Fans of Coldplay and Avicii",125 BPM,"A Sky Full Of Stars is an uplifting song that blends elements of pop and electronic music, featuring themes of love, nostalgia, and healing. It is recognized for its motivational vibe and emotional depth, making it suitable for various occasions, including weddings. The song has a significant connection to Avicii, who contributed to its production, adding to its legacy.",https://www.youtube.com/watch?v=VPRjCeoBqrI
uuwfgXD8qV8,Part Of Me,Katy Perry,Pop music,Empowering,"Singing, Sampler, Synthesizer","Overcoming heartbreak, self-empowerment","Personal motivation, childhood nostalgia",English,2010s,"Young adults, nostalgic listeners",130.81395349 BPM,"The song 'Part Of Me' by Katy Perry is an empowering anthem about overcoming heartbreak and finding strength within oneself. It resonates with listeners who relate to themes of self-discovery and resilience, often evoking nostalgia for childhood experiences.",https://www.youtube.com/watch?v=uuwfgXD8qV8
sEhy-RXkNo0,Man Down,Rihanna,Reggae,Emotional,"Singing, Sampler, Synthesizer","Survivor's story, Violence against women",,English,2010s,"Young adults, Survivors of assault",156.25 BPM,"The song tells a powerful story of a woman who faces the consequences of a violent encounter, reflecting themes of trauma and survival. It resonates deeply with listeners, particularly those who have experienced similar struggles.",https://www.youtube.com/watch?v=sEhy-RXkNo0
WXBHCQYxwr0,Sweet but Psycho,Ava Max,Pop music,Bittersweet,Singing,Love and loss,,English,,Young adults,133.93 BPM,"The song explores themes of love and loss, resonating deeply with listeners. It has a bittersweet mood, often evoking memories of loved ones, particularly in the context of loss. The catchy pop sound and engaging lyrics make it relatable to a young adult audience.",https://www.youtube.com/watch?v=WXBHCQYxwr0
HyHNuVaZJ-k,Feel Good Inc.,Gorillaz,Electronic music,Nostalgic,Bass,Corporate critique,Casual listening,English,2000s,General,92.21311475,A nostalgic and catchy electronic track that critiques the corporate music industry while providing an uplifting vibe.,https://www.youtube.com/watch?v=HyHNuVaZJ-k
TGtWWb9emYI,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (Olodum Mix),,Dance music,Nostalgic,"Drum kit, Synthesizer","Unity, Celebration","World Cup, Celebration","English, Portuguese",2010s,"Football fans, Nostalgic listeners",100.4464286,"This song evokes nostalgia and joy, celebrating unity and the spirit of the World Cup, particularly reflecting on the fond memories of the 2014 tournament.",https://www.youtube.com/watch?v=TGtWWb9emYI
EHkozMIXZ8w,The Monster,Eminem ft. Rihanna,Hip hop music,Nostalgic,"Singing, Sampler, Synthesizer, Drum kit",Struggle with inner demons and fame,,English,2010s,Fans of hip hop and pop music,110.29 BPM,"A collaboration exploring themes of inner struggle and fame, characterized by a catchy chorus and a nostalgic feel.",https://www.youtube.com/watch?v=EHkozMIXZ8w
nlcIKh6sBtc,Royals,Lorde,Pop music,Nostalgic,"Drum machine, Synthesizer, Keyboard",Wealth and status,,English,2010s,"Young adults, Teens",85.22727273 BPM,"A cultural reset in pop music, 'Royals' reflects on themes of wealth and status, showcasing Lorde's talent at a young age. The song's nostalgic vibe resonates with listeners, marking its influence on the music scene.",https://www.youtube.com/watch?v=nlcIKh6sBtc
dvgZkm1xWPE,Viva La Vida,Coldplay,Rock music,Nostalgic,Orchestra,Change and reflection,,English,2000s,,137.195122,"A powerful rock anthem reflecting on nostalgia, change, and the passage of time, often associated with memories of past experiences and emotions.",https://www.youtube.com/watch?v=dvgZkm1xWPE
qMxX-QOV9tI,Price Tag,Jessie J,Pop music,Nostalgic,Guitar,The passage of time and the value of money,,English,2010s,General,170.45 BPM,"The song reflects on nostalgia and the importance of valuing experiences over material wealth, resonating with listeners across different years.",https://www.youtube.com/watch?v=qMxX-QOV9tI
fk4BbF7B29w,Send My Love (To Your New Lover),Adele,Pop music,Nostalgic,Acoustic guitar,Moving on from past relationships,Breakup recovery,English,2010s,General music lovers,165.4411765,"Adele's 'Send My Love (To Your New Lover)' is a nostalgic pop song that reflects themes of moving on from past relationships. With its catchy melody and emotional delivery, it resonates with listeners across various demographics, making it a timeless piece that continues to evoke strong feelings long after its release.",https://www.youtube.com/watch?v=fk4BbF7B29w
_JOnM3jmY0o,Te Vas,Ozuna,Tender music,Nostalgic,Guitar,Heartbreak,,Spanish,,Fans of romantic music,87.890625,"The song expresses feelings of heartbreak and nostalgia, resonating with listeners over the years. It features a tender melody primarily driven by guitar and has been appreciated for its heartfelt lyrics.",https://www.youtube.com/watch?v=_JOnM3jmY0o
pa14VNsdSYM,Only Girl (In The World),Rihanna,"Pop music, Dance music","Nostalgic, Exciting","Singing, Musical instrument","Love, Empowerment","Party, Nighttime cruising",English,2010s,"2000s kids, Pop music fans",125 BPM,"A nostalgic pop anthem celebrating love and empowerment, characterized by an exciting tempo and appealing visuals, resonating with fans of the 2000s.",https://www.youtube.com/watch?v=pa14VNsdSYM
pbMwTqkKSps,when the party's over,Billie Eilish,Vocal music,Sad music,Piano,Loss and redemption,Memorial,English,,Fans of Billie Eilish and the show 'Invincible',125 BPM,"The song reflects themes of loss and emotional turmoil, resonating with fans particularly in the context of a character's sacrifice in the animated series 'Invincible'.",https://www.youtube.com/watch?v=pbMwTqkKSps
kPBzTxZQG5Q,Here Without You,3 Doors Down,Rock music,Nostalgic,"Guitar, Acoustic guitar, Electric guitar, Singing","Loss, Love, Healing","Memorial, Reflection",English,2000s,Fans of classic rock and emotional ballads,144.2307692,"The song reflects themes of loss and longing, resonating deeply with listeners who have experienced grief or separation. It evokes nostalgia for the early 2000s rock era and has become a classic that many revisit during difficult times.",https://www.youtube.com/watch?v=kPBzTxZQG5Q
doLMt10ytHY,Yonaguni,Bad Bunny,Reggae,Emotional,Guitar,Love,,Spanish,,Fans of Bad Bunny,119.68 BPM,"The song expresses deep emotions and love, resonating with listeners who feel a strong connection to the artist and the music.",https://www.youtube.com/watch?v=doLMt10ytHY
IdneKLhsWOQ,Wildest Dreams,Taylor Swift,Pop music,Cinematic,"Singing, Synthesizer, Sampler, Keyboard","Nostalgia, Love",,English,2010s,Taylor Swift fans,140.625 BPM,"A cinematic pop song that evokes nostalgia and love, featuring Taylor Swift's heartbeat as part of its unique sound.",https://www.youtube.com/watch?v=IdneKLhsWOQ
qpgTC9MDx1o,Animals,Maroon 5,Pop music,Exciting,"Singing, Drum, Synthesizer","Stalking, Obsession",,English,,"Young adults, Nostalgic listeners",95.34 BPM,"The song explores themes of obsession and desire, often interpreted in a darker context. Many listeners reflect on their childhood perceptions of the song, realizing its true meaning as they grow older.",https://www.youtube.com/watch?v=qpgTC9MDx1o
Il-an3K9pjg,2002,Anne-Marie,Pop music,Nostalgic,"Guitar, Acoustic guitar, Ukulele",Memories of childhood and summer,"Summer, Nostalgic gatherings",English,2000s,"Young adults, Children",127.8409091,"The song reflects on nostalgic memories from the summer of 2002, intertwining references to popular songs from that era, evoking feelings of joy and reminiscence.",https://www.youtube.com/watch?v=Il-an3K9pjg
YJVmu6yttiw,Bangarang feat. Sirah,SKRILLEX,Dubstep,Nostalgic,"Sampler, Synthesizer, Drum and bass","Childhood memories, rebellion","Parties, late-night drives",English,2010s,"Young adults, nostalgic listeners",110.29411765 BPM,"A nostalgic electronic dance track that captures the rebellious spirit of youth, featuring energetic beats and playful themes centered around childhood antics and memories.",https://www.youtube.com/watch?v=YJVmu6yttiw
DkeiKbqa02g,One Kiss,"Calvin Harris, Dua Lipa",Dance music,Exciting,"Synthesizer, Keyboard","Celebration, Fashion","Shopping, Parties",English,2010s,"Young adults, Fashion enthusiasts",125 BPM,"A catchy dance track that evokes feelings of celebration and excitement, often associated with shopping and vibrant social scenes.",https://www.youtube.com/watch?v=DkeiKbqa02g
